gyrX,gyrY,accX,accY,kalX,kalY,cfilX,cfilY
-1.00,5.34,3.58,0.28,3.53,0.20,3.50,0.32
-1.00,5.34,3.51,0.18,3.52,0.20,3.50,0.32
-1.00,5.35,3.48,0.38,3.52,0.20,3.50,0.33
-1.00,5.36,3.38,0.27,3.52,0.20,3.49,0.33
-1.00,5.36,3.40,0.25,3.51,0.20,3.49,0.34
-1.01,5.37,3.53,0.18,3.51,0.20,3.49,0.33
-1.01,5.37,3.52,0.30,3.52,0.21,3.49,0.34
-1.01,5.37,3.44,0.22,3.51,0.20,3.49,0.34
-1.01,5.38,3.58,0.19,3.52,0.20,3.49,0.34
-1.01,5.38,3.51,0.15,3.52,0.20,3.49,0.33
-1.01,5.39,3.52,0.01,3.52,0.20,3.49,0.32
-1.01,5.39,3.49,0.19,3.52,0.20,3.49,0.33
-1.01,5.40,3.45,0.27,3.52,0.20,3.49,0.33
-1.01,5.40,3.58,0.22,3.52,0.20,3.50,0.33
-1.01,5.41,3.54,0.24,3.52,0.20,3.50,0.33
-1.01,5.41,3.64,0.27,3.53,0.20,3.50,0.33
-1.01,5.42,3.66,0.18,3.53,0.20,3.51,0.33
-1.01,5.42,3.70,0.25,3.53,0.20,3.51,0.33
-1.01,5.43,3.65,0.18,3.54,0.20,3.52,0.33
-1.02,5.44,3.60,0.10,3.54,0.20,3.52,0.33
-1.02,5.44,3.57,0.16,3.53,0.20,3.51,0.33
-1.02,5.45,3.45,0.34,3.53,0.20,3.51,0.33
-1.03,5.45,3.33,0.22,3.52,0.20,3.50,0.33
-1.03,5.46,3.40,0.36,3.52,0.21,3.49,0.34
-1.03,5.46,3.33,0.24,3.51,0.21,3.48,0.34
-1.03,5.47,3.28,0.26,3.50,0.21,3.47,0.34
-1.03,5.48,3.32,0.16,3.50,0.21,3.47,0.34
-1.03,5.48,3.40,0.19,3.50,0.21,3.46,0.34
-1.03,5.49,3.46,0.13,3.50,0.21,3.46,0.34
-1.03,5.49,3.52,0.19,3.50,0.21,3.47,0.34
-1.03,5.50,3.44,0.12,3.50,0.21,3.47,0.34
-1.03,5.50,3.51,0.28,3.50,0.21,3.47,0.34
-1.03,5.51,3.48,0.33,3.50,0.21,3.47,0.34
-1.03,5.51,3.50,0.41,3.50,0.22,3.47,0.35
-1.03,5.52,3.47,0.39,3.51,0.22,3.47,0.36
-1.03,5.52,3.58,0.33,3.51,0.23,3.48,0.36
-1.02,5.53,3.65,0.25,3.52,0.23,3.49,0.36
-1.02,5.53,3.69,0.30,3.52,0.23,3.50,0.36
-1.02,5.54,3.86,0.13,3.53,0.22,3.51,0.36
-1.03,5.54,3.80,0.18,3.54,0.22,3.52,0.35
-1.03,5.54,3.64,0.18,3.54,0.22,3.52,0.35
-1.04,5.55,3.58,0.15,3.54,0.22,3.52,0.35
-1.04,5.56,3.43,0.10,3.53,0.22,3.51,0.34
-1.05,5.56,3.29,0.11,3.52,0.21,3.50,0.34
-1.05,5.57,3.24,0.23,3.51,0.21,3.48,0.34
-1.06,5.57,3.22,0.23,3.50,0.21,3.47,0.34
-1.06,5.58,3.15,0.21,3.48,0.21,3.45,0.34
-1.06,5.58,3.17,0.35,3.48,0.22,3.44,0.35
-1.06,5.59,3.22,0.30,3.47,0.22,3.43,0.35
-1.06,5.59,3.42,0.33,3.47,0.22,3.43,0.35
-1.06,5.59,3.38,0.21,3.47,0.22,3.43,0.35
-1.06,5.60,3.57,0.27,3.47,0.22,3.44,0.35
-1.05,5.60,3.63,0.30,3.48,0.22,3.45,0.35
-1.05,5.61,3.53,0.22,3.48,0.22,3.45,0.35
-1.05,5.61,3.62,0.26,3.49,0.22,3.46,0.35
-1.05,5.62,3.53,0.16,3.49,0.22,3.46,0.35
-1.05,5.63,3.55,0.03,3.49,0.22,3.47,0.34
-1.05,5.63,3.55,0.12,3.50,0.22,3.47,0.34
-1.05,5.64,3.56,0.00,3.50,0.21,3.47,0.33
-1.05,5.64,3.62,0.24,3.50,0.21,3.48,0.33
-1.05,5.65,3.65,0.25,3.51,0.21,3.48,0.34
-1.06,5.65,3.60,0.18,3.51,0.21,3.49,0.34
-1.06,5.66,3.62,0.13,3.51,0.21,3.49,0.33
-1.06,5.66,3.52,0.27,3.51,0.21,3.49,0.33
-1.06,5.67,3.44,0.28,3.51,0.21,3.48,0.34
-1.07,5.67,3.40,0.27,3.50,0.21,3.48,0.34
-1.07,5.68,3.43,0.09,3.50,0.21,3.48,0.33
-1.07,5.68,3.49,0.13,3.50,0.21,3.48,0.33
-1.07,5.69,3.40,0.10,3.50,0.21,3.47,0.33
-1.07,5.69,3.47,0.09,3.50,0.20,3.47,0.32
-1.07,5.70,3.45,0.15,3.50,0.20,3.47,0.32
-1.07,5.71,3.44,0.21,3.50,0.20,3.47,0.32
-1.07,5.71,3.57,0.28,3.50,0.21,3.47,0.33
-1.07,5.72,3.49,0.27,3.50,0.21,3.48,0.33
-1.07,5.72,3.58,0.25,3.50,0.21,3.48,0.33
-1.07,5.73,3.57,0.40,3.51,0.21,3.48,0.34
-1.07,5.73,3.58,0.38,3.51,0.22,3.49,0.35
-1.07,5.74,3.46,0.21,3.51,0.22,3.49,0.34
-1.07,5.74,3.53,0.15,3.51,0.21,3.49,0.34
-1.07,5.75,3.70,0.07,3.52,0.21,3.50,0.33
-1.07,5.75,3.73,0.21,3.52,0.21,3.50,0.33
-1.07,5.76,3.65,0.18,3.52,0.21,3.51,0.33
-1.07,5.76,3.64,0.27,3.53,0.21,3.51,0.34
-1.08,5.77,3.55,0.28,3.52,0.21,3.51,0.34
-1.08,5.77,3.43,0.17,3.52,0.21,3.50,0.34
-1.08,5.78,3.25,0.15,3.51,0.21,3.49,0.33
-1.09,5.78,3.16,0.24,3.50,0.21,3.47,0.33
-1.09,5.79,3.15,0.20,3.49,0.21,3.46,0.33
-1.08,5.79,3.28,0.27,3.49,0.21,3.45,0.34
-1.08,5.80,3.27,0.22,3.48,0.21,3.45,0.34
-1.08,5.80,3.41,0.25,3.48,0.21,3.45,0.34
-1.08,5.81,3.54,0.31,3.49,0.22,3.45,0.34
-1.08,5.81,3.58,0.42,3.49,0.22,3.46,0.35
-1.08,5.82,3.68,0.22,3.50,0.22,3.47,0.35
-1.07,5.82,3.80,0.24,3.51,0.22,3.49,0.35
-1.07,5.83,3.78,0.21,3.52,0.22,3.50,0.35
-1.07,5.83,3.67,0.10,3.52,0.22,3.50,0.34
-1.08,5.84,3.71,0.15,3.53,0.22,3.51,0.34
-1.08,5.84,3.64,0.15,3.53,0.22,3.51,0.34
-1.08,5.85,3.63,0.19,3.53,0.22,3.52,0.34
-1.08,5.86,3.62,0.27,3.53,0.22,3.52,0.34
-1.09,5.86,3.53,0.16,3.53,0.22,3.52,0.34
-1.09,5.87,3.59,0.18,3.53,0.22,3.52,0.34
-1.09,5.87,3.62,0.25,3.53,0.22,3.52,0.34
-1.10,5.88,3.46,0.24,3.53,0.22,3.51,0.34
-1.10,5.88,3.57,0.24,3.53,0.22,3.51,0.34
-1.10,5.89,3.58,0.24,3.52,0.22,3.51,0.34
-1.11,5.89,3.43,0.19,3.52,0.22,3.50,0.34
-1.11,5.90,3.48,0.15,3.52,0.22,3.50,0.34
-1.11,5.90,3.45,0.14,3.51,0.22,3.49,0.34
-1.12,5.91,3.39,0.11,3.51,0.21,3.49,0.33
-1.12,5.92,3.30,0.19,3.50,0.21,3.48,0.33
-1.12,5.92,3.36,0.32,3.50,0.22,3.47,0.34
-1.12,5.93,3.45,0.29,3.50,0.22,3.47,0.34
-1.12,5.93,3.41,0.27,3.50,0.22,3.47,0.35
-1.12,5.94,3.51,0.16,3.50,0.22,3.47,0.34
-1.11,5.94,3.55,0.13,3.50,0.22,3.48,0.34
-1.11,5.95,3.55,0.12,3.50,0.21,3.48,0.33
-1.11,5.95,3.58,0.19,3.51,0.21,3.48,0.33
-1.11,5.96,3.56,0.07,3.51,0.21,3.49,0.33
-1.12,5.97,3.12,0.54,3.50,0.23,3.47,0.35
